Foraging predator
Ambush predator
Active predator
Filter feeder
Aggressive predator
Foraging omnivore
Predators
Herbivore
Opportunistic feeders
Filter-feeder
Omnivore (mostly feed on jellyfish)
Active (diving) predator
Predator
Predator and scavenger
Carnivores and foragers
Forager
